t,x(t)
0.5055,0.566919
0.506,0.567451
0.5065,0.567982
0.507,0.568514
0.5075,0.569045
0.508,0.569577
0.5085,0.570108
0.509,0.570639
0.5095,0.57117
0.51,0.571701
0.5105,0.572232
0.511,0.572763
0.5115,0.573293
0.512,0.573824
0.5125,0.574354
0.513,0.574884
0.5135,0.575414
0.514,0.575944
0.5145,0.576474
0.515,0.577004
0.5155,0.577533
0.516,0.578063
0.5165,0.578592
0.517,0.579122
0.5175,0.579651
0.518,0.58018
0.5185,0.580709
0.519,0.581237
0.5195,0.581766
0.52,0.582295
0.5205,0.582823
0.521,0.583352
0.5215,0.58388
0.522,0.584408
0.5225,0.584936
0.523,0.585464
0.5235,0.585991
0.524,0.586519
0.5245,0.587046
0.525,0.587574
0.5255,0.588101
0.526,0.588628
0.5265,0.589155
0.527,0.589682
0.5275,0.590209
0.528,0.590736
0.5285,0.591262
0.529,0.591788
0.5295,0.592315
0.53,0.592841
0.5305,0.593367
0.531,0.593893
0.5315,0.594419
0.532,0.594944
0.5325,0.59547
0.533,0.595995
0.5335,0.59652
0.534,0.597046
0.5345,0.597571
0.535,0.598096
0.5355,0.59862
0.536,0.599145
0.5365,0.59967
0.537,0.600194
0.5375,0.600718
0.538,0.601242
0.5385,0.601767
0.539,0.60229
0.5395,0.602814
0.54,0.603338
0.5405,0.603861
0.541,0.604385
0.5415,0.604908
0.542,0.605431
0.5425,0.605954
0.543,0.606477
0.5435,0.607
0.544,0.607523
0.5445,0.608045
0.545,0.608567
0.5455,0.60909
0.546,0.609612
0.5465,0.610134
0.547,0.610656
0.5475,0.611177
0.548,0.611699
0.5485,0.61222
0.549,0.612742
0.5495,0.613263
0.55,0.613784
0.5505,0.614305
0.551,0.614826
0.5515,0.615347
0.552,0.615867
0.5525,0.616388
0.553,0.616908
0.5535,0.617428
0.554,0.617948
0.5545,0.618468
0.555,0.618988
0.5555,0.619507
0.556,0.620027
0.5565,0.620546
0.557,0.621065
0.5575,0.621584
0.558,0.622103
0.5585,0.622622
0.559,0.623141
0.5595,0.623659
0.56,0.624178
0.5605,0.624696
0.561,0.625214
0.5615,0.625732
0.562,0.62625
0.5625,0.626768
0.563,0.627286
0.5635,0.627803
0.564,0.62832
0.5645,0.628838
0.565,0.629355
0.5655,0.629872
0.566,0.630388
0.5665,0.630905
0.567,0.631421
0.5675,0.631938
0.568,0.632454
0.5685,0.63297
0.569,0.633486
0.5695,0.634002
0.57,0.634518
0.5705,0.635033
0.571,0.635549
0.5715,0.636064
0.572,0.636579
0.5725,0.637094
0.573,0.637609
0.5735,0.638123
0.574,0.638638
0.5745,0.639152
0.575,0.639667
0.5755,0.640181
0.576,0.640695
0.5765,0.641209
0.577,0.641722
0.5775,0.642236
0.578,0.642749
0.5785,0.643263
0.579,0.643776
0.5795,0.644289
0.58,0.644802
0.5805,0.645314
0.581,0.645827
0.5815,0.646339
0.582,0.646852
0.5825,0.647364
0.583,0.647876
0.5835,0.648387
0.584,0.648899
0.5845,0.649411
0.585,0.649922
0.5855,0.650433
0.586,0.650945
0.5865,0.651455
0.587,0.651966
0.5875,0.652477
0.588,0.652987
0.5885,0.653498
0.589,0.654008
0.5895,0.654518
0.59,0.655028
0.5905,0.655538
0.591,0.656048
0.5915,0.656557
0.592,0.657066
0.5925,0.657576
0.593,0.658085
0.5935,0.658593
0.594,0.659102
0.5945,0.659611
0.595,0.660119
0.5955,0.660628
0.596,0.661136
0.5965,0.661644
0.597,0.662151
0.5975,0.662659
0.598,0.663167
0.5985,0.663674
0.599,0.664181
0.5995,0.664688
0.6,0.665195
0.6005,0.665702
0.601,0.666209
0.6015,0.666715
0.602,0.667222
0.6025,0.667728
0.603,0.668234
0.6035,0.66874
0.604,0.669245
0.6045,0.669751
0.605,0.670256
0.6055,0.670761
0.606,0.671267
0.6065,0.671771
0.607,0.672276
0.6075,0.672781
0.608,0.673285
0.6085,0.67379
0.609,0.674294
0.6095,0.674798
0.61,0.675302
0.6105,0.675805
0.611,0.676309
0.6115,0.676812
0.612,0.677315
0.6125,0.677818
0.613,0.678321
0.6135,0.678824
0.614,0.679327
0.6145,0.679829
0.615,0.680331
0.6155,0.680833
0.616,0.681335
0.6165,0.681837
0.617,0.682339
0.6175,0.68284
0.618,0.683342
0.6185,0.683843
0.619,0.684344
0.6195,0.684844
0.62,0.685345
0.6205,0.685846
0.621,0.686346
0.6215,0.686846
0.622,0.687346
0.6225,0.687846
0.623,0.688346
0.6235,0.688845
0.624,0.689345
0.6245,0.689844
0.625,0.690343
0.6255,0.690842
0.626,0.69134
0.6265,0.691839
0.627,0.692337
0.6275,0.692835
0.628,0.693333
0.6285,0.693831
0.629,0.694329
0.6295,0.694827
0.63,0.695324
0.6305,0.695821
0.631,0.696318
0.6315,0.696815
0.632,0.697312
0.6325,0.697808
0.633,0.698305
0.6335,0.698801
0.634,0.699297
0.6345,0.699793
0.635,0.700289
0.6355,0.700784
0.636,0.70128
0.6365,0.701775
0.637,0.70227
0.6375,0.702765
0.638,0.703259
0.6385,0.703754
0.639,0.704248
0.6395,0.704742
0.64,0.705236
0.6405,0.70573
0.641,0.706224
0.6415,0.706717
0.642,0.707211
0.6425,0.707704
0.643,0.708197
0.6435,0.70869
0.644,0.709182
0.6445,0.709675
0.645,0.710167
0.6455,0.710659
0.646,0.711151
0.6465,0.711643
0.647,0.712135
0.6475,0.712626
0.648,0.713117
0.6485,0.713608
0.649,0.714099
0.6495,0.71459
0.65,0.715081
0.6505,0.715571
0.651,0.716061
0.6515,0.716551
0.652,0.717041
0.6525,0.717531
0.653,0.71802
0.6535,0.71851
0.654,0.718999
0.6545,0.719488
0.655,0.719977
0.6555,0.720465
0.656,0.720954
0.6565,0.721442
0.657,0.72193
0.6575,0.722418
0.658,0.722906
0.6585,0.723393
0.659,0.72388
0.6595,0.724368
0.66,0.724855
0.6605,0.725341
0.661,0.725828
0.6615,0.726315
0.662,0.726801
0.6625,0.727287
0.663,0.727773
0.6635,0.728259
0.664,0.728744
0.6645,0.729229
0.665,0.729715
0.6655,0.7302
0.666,0.730685
0.6665,0.731169
0.667,0.731654
0.6675,0.732138
0.668,0.732622
0.6685,0.733106
0.669,0.73359
0.6695,0.734073
0.67,0.734556
0.6705,0.73504
0.671,0.735523
0.6715,0.736005
0.672,0.736488
0.6725,0.73697
0.673,0.737453
0.6735,0.737935
0.674,0.738417
0.6745,0.738898
0.675,0.73938
0.6755,0.739861
0.676,0.740342
0.6765,0.740823
0.677,0.741304
0.6775,0.741784
0.678,0.742265
0.6785,0.742745
0.679,0.743225
0.6795,0.743705
0.68,0.744184
0.6805,0.744664
0.681,0.745143
0.6815,0.745622
0.682,0.746101
0.6825,0.746579
0.683,0.747058
0.6835,0.747536
0.684,0.748014
0.6845,0.748492
0.685,0.74897
0.6855,0.749447
0.686,0.749925
0.6865,0.750402
0.687,0.750879
0.6875,0.751355
0.688,0.751832
0.6885,0.752308
0.689,0.752784
0.6895,0.75326
0.69,0.753736
0.6905,0.754212
0.691,0.754687
0.6915,0.755162
0.692,0.755637
0.6925,0.756112
0.693,0.756586
0.6935,0.757061
0.694,0.757535
0.6945,0.758009
0.695,0.758483
0.6955,0.758956
0.696,0.75943
0.6965,0.759903
0.697,0.760376
0.6975,0.760849
0.698,0.761321
0.6985,0.761794
0.699,0.762266
0.6995,0.762738
0.7,0.76321
0.7005,0.763681
0.701,0.764153
0.7015,0.764624
0.702,0.765095
0.7025,0.765566
0.703,0.766036
0.7035,0.766507
0.704,0.766977
0.7045,0.767447
0.705,0.767917
0.7055,0.768386
0.706,0.768856
0.7065,0.769325
0.707,0.769794
0.7075,0.770263
0.708,0.770731
0.7085,0.7712
0.709,0.771668
0.7095,0.772136
0.71,0.772604
0.7105,0.773071
0.711,0.773538
0.7115,0.774006
0.712,0.774473
0.7125,0.774939
0.713,0.775406
0.7135,0.775872
0.714,0.776338
0.7145,0.776804
0.715,0.77727
0.7155,0.777735
0.716,0.7782
0.7165,0.778666
0.717,0.77913
0.7175,0.779595
0.718,0.780059
0.7185,0.780524
0.719,0.780988
0.7195,0.781452
0.72,0.781915
0.7205,0.782379
0.721,0.782842
0.7215,0.783305
0.722,0.783767
0.7225,0.78423
0.723,0.784692
0.7235,0.785154
0.724,0.785616
0.7245,0.786078
0.725,0.78654
0.7255,0.787001
0.726,0.787462
